Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
12,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,1152169,1,January,2020,1969235.0,italian hip hop,76.0,57.0,258186.0,Playlist Live,27.0,2019-12-06,0.0123,0.72,0.83,0.0,10.0,0.438,-5.42,0.0,0.206,120.152,4.0,0.482
13,BRAVI A CADERE - I polmoni,Marracash,1112836,1,January,2020,1282911.0,italian hip hop,74.0,0.0,200214.0,Best of 2020 Italia Pop Hits,57.0,2021-02-19,0.163,0.608,0.693,0.0,5.0,0.104,-5.677,0.0,0.103,95.006,4.0,0.261
14,Chiasso,Random,1096273,1,January,2020,254797.0,italian pop,62.0,60.0,182228.0,Chiasso,1.0,2019-05-27,0.246,0.721,0.451,0.0,6.0,0.101,-13.285,0.0,0.192,91.999,4.0,0.46
15,Holly & Benji (feat. Capo Plaza & Shiva),AVA,1085398,1,January,2020,34459.0,italian hip hop,62.0,53.0,220127.0,Holly & Benji (feat. Capo Plaza & Shiva),1.0,2019-12-13,0.0129,0.42,0.787,0.0,11.0,0.107,-6.206,0.0,0.266,78.44,4.0,0.498
16,Falling,Trevor Daniel,1072189,1,January,2020,567449.0,alternative r&b,79.0,83.0,159381.0,Falling,1.0,2018-10-05,0.123,0.785,0.431,0.0,10.0,0.0887,-8.756,0.0,0.0364,127.085,4.0,0.236
17,Memories,Maroon 5,1025915,1,January,2020,29446381.0,pop,90.0,86.0,189486.0,Memories,1.0,2019-09-20,0.837,0.764,0.32,0.0,11.0,0.0822,-7.209,1.0,0.0546,91.019,4.0,0.575
18,Barrio,Mahmood,1001191,1,January,2020,789382.0,italian pop,68.0,0.0,165245.0,Best of 2020 Italia Pop Hits,57.0,2021-02-19,0.0582,0.804,0.702,0.0,11.0,0.11,-6.553,0.0,0.072,122.027,4.0,0.575
19,sw1n6o - feat. Salmo,tha Supreme,999979,1,January,2020,1288668.0,italian hip hop,76.0,55.0,184037.0,23 6451,20.0,2019-11-15,0.122,0.569,0.828,7.05e-06,0.0,0.785,-5.554,0.0,0.0857,169.982,4.0,0.786
20,Cin Cin,Alfa,995675,1,January,2020,368836.0,italian adult pop,65.0,62.0,180094.0,Before Wanderlust,11.0,2019-12-13,0.261,0.701,0.634,0.0,1.0,0.131,-4.16,1.0,0.0344,121.047,4.0,0.371
21,m12ano - feat. Mara Sattei,tha Supreme,992320,1,January,2020,1288668.0,italian hip hop,76.0,58.0,188426.0,23 6451,20.0,2019-11-15,0.0431,0.577,0.514,3.22e-05,2.0,0.0843,-6.407,1.0,0.0392,64.822,4.0,0.479
22,Una volta ancora (feat. Ana Mena),Fred De Palma,961816,1,January,2020,721824.0,italian adult pop,68.0,66.0,174291.0,Uebe,12.0,2019-09-13,0.0848,0.771,0.638,0.0,8.0,0.104,-5.342,1.0,0.0622,124.039,4.0,0.591
23,Bossoli,Shiva,945800,1,January,2020,533319.0,italian hip hop,67.0,56.0,178758.0,Bossoli,1.0,2019-09-05,0.436,0.825,0.655,0.0,5.0,0.138,-8.475,0.0,0.255,145.045,3.0,0.8
24,ROXANNE,Arizona Zervas,938368,1,January,2020,574284.0,pop rap,77.0,84.0,163636.0,ROXANNE,1.0,2019-10-10,0.0522,0.621,0.601,0.0,6.0,0.46,-5.616,0.0,0.148,116.735,5.0,0.457
25,Non Avere Paura,Tommaso Paradiso,937926,1,January,2020,151965.0,italian adult pop,61.0,62.0,247478.0,Non Avere Paura,1.0,2019-09-25,0.428,0.568,0.678,0.0,0.0,0.107,-6.185,1.0,0.0366,104.992,4.0,0.241
26,Ayy Macarena,Tyga,887061,1,January,2020,6120221.0,dance pop,87.0,75.0,131606.0,Ayy Macarena,1.0,2019-11-13,0.133,0.816,0.63,0.0,2.0,0.0692,-5.568,1.0,0.226,96.493,4.0,0.715
27,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,879614,1,January,2020,616868.0,italian hip hop,74.0,59.0,164301.0,Re Mida (Aurum),30.0,2019-10-03,0.0889,0.795,0.634,0.0,5.0,0.0874,-8.771,0.0,0.142,97.512,4.0,0.39
28,Dont Start Now,Dua Lipa,874600,1,January,2020,22872548.0,dance pop,95.0,83.0,183290.0,Don't Start Now,1.0,2019-10-31,0.0125,0.794,0.793,0.0,11.0,0.0952,-4.521,0.0,0.0842,123.941,4.0,0.677
29,occh1 purpl3 - feat. Marracash,tha Supreme,834600,1,January,2020,1288668.0,italian hip hop,76.0,53.0,187821.0,23 6451,20.0,2019-11-15,0.0921,0.66,0.809,0.0,2.0,0.16,-4.837,1.0,0.156,133.922,4.0,0.547
30,Twerk (con Boro Boro),MamboLosco,827035,1,January,2020,419279.0,trap italiana,61.0,55.0,152440.0,Arte,16.0,2019-09-11,0.0504,0.906,0.525,2.88e-06,9.0,0.0859,-7.482,1.0,0.305,96.005,4.0,0.365
31,Piccola Stella,Ultimo,822385,1,January,2020,2251859.0,italian adult pop,71.0,63.0,232666.0,Colpa Delle Favole,13.0,2019-04-05,0.341,0.487,0.465,0.0,2.0,0.111,-8.019,1.0,0.0474,179.907,3.0,0.288
32,Lento,Boro Boro,776741,1,January,2020,234732.0,italian hip hop,62.0,60.0,162362.0,Lento,1.0,2019-06-07,0.378,0.651,0.864,0.0,8.0,0.227,-5.799,0.0,0.225,181.936,4.0,0.812
33,m8nstar,tha Supreme,774528,1,January,2020,1288668.0,italian hip hop,76.0,55.0,164825.0,23 6451,20.0,2019-11-15,0.0548,0.58,0.758,0.0,4.0,0.114,-6.448,0.0,0.044,164.924,4.0,0.437
