Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
38,Lucid Dreams,Juice WRLD,2769384,1,January,2021,15906329,chicago rap,98,87,239835,Goodbye & Good Riddance,17,2018-12-10,0.349,0.511,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,4,0.218
39,pov,Ariana Grande,2754127,1,January,2021,15906329,chicago rap,98,84,205484,Legends Never Die,22,2020-07-10,0.0172,0.625,0.814,0.0,0,0.158,-5.181,1,0.0657,144.991,4,0.535
40,Forever After All,Luke Combs,2740228,1,January,2021,3132058,chicago rap,89,84,132832,THE GOAT,16,2020-05-15,0.345,0.832,0.534,0.0,1,0.165,-7.813,0,0.253,93.924,4,0.116
41,Heather,Conan Gray,2720201,1,January,2021,15210607,rap,95,87,162802,Goosebumps (Remix),1,2021-01-15,0.418,0.841,0.593,0.0,1,0.124,-7.846,1,0.0379,124.917,4,0.808
42,Put Your Records On,Ritt Momney,2706892,1,January,2021,37050932,dance pop,98,86,214706,evermore,15,2020-12-11,0.833,0.392,0.574,0.00179,7,0.145,-9.195,1,0.17,81.112,4,0.529
43,Cry Baby (feat. DaBaby),Megan Thee Stallion,2660651,1,January,2021,1434127,contemporary country,92,77,210506,Dangerous: The Double Album,30,2021-01-08,0.417,0.466,0.786,6.1e-05,0,0.125,-5.13,1,0.0328,203.903,4,0.571
44,Lonely (with benny blanco),Justin Bieber,2651993,1,January,2021,3345157,melodic rap,84,82,162546,Blueberry Faygo,1,2020-02-07,0.207,0.774,0.554,0.0,0,0.132,-7.909,1,0.0383,99.034,4,0.349
45,Tequila Shots,Kid Cudi,2626837,1,January,2021,713745,deep underground hip hop,86,82,156497,Tyler Herro,1,2020-10-22,0.11,0.794,0.756,0.0,5,0.247,-7.16,0,0.136,123.066,4,0.775
46,SO DONE,The Kid LAROI,2612974,1,January,2021,15906329,chicago rap,98,86,240050,Death Race For Love,22,2019-03-08,0.328,0.685,0.692,0.0,2,0.153,-5.122,1,0.0457,159.966,5,0.578
47,Robbery,Juice WRLD,2592895,1,January,2021,2801513,bedroom pop,84,89,198040,Kid Krow,12,2020-03-20,0.584,0.357,0.425,0.0,5,0.322,-7.301,1,0.0333,102.078,3,0.27
48,Heat Waves,Glass Animals,2591076,1,January,2021,1434127,contemporary country,92,77,216573,Dangerous: The Double Album,30,2021-01-08,0.615,0.62,0.869,0.0,6,0.131,-5.479,1,0.0462,126.019,4,0.597
49,Somebody’s Problem,Morgan Wallen,2587814,1,January,2021,713745,deep underground hip hop,86,72,227478,Thats What They All Say,15,2020-12-11,0.0631,0.904,0.723,0.0,11,0.185,-5.224,0,0.26,145.013,4,0.835
