Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
60,Sprayad,Greekazo,269055,1,January,2020,52084.0,swedish gangsta rap,60.0,50.0,136310.0,Sprayad,1.0,2019-10-04,0.167,0.926,0.585,0.0,2.0,0.291,-6.607,0.0,0.0845,103.016,4.0,0.409
61,Det bästa kanske inte hänt än,Molly Sandén,267353,1,January,2020,215281.0,europop,67.0,39.0,218493.0,Det bästa kanske inte hänt än,9.0,2019-05-29,0.178,0.693,0.688,2.76e-05,0.0,0.135,-8.933,0.0,0.0675,123.146,4.0,0.307
62,Första Klass,Einár,263565,1,January,2020,161953.0,swedish gangsta rap,69.0,55.0,151578.0,Första Klass,9.0,2019-06-07,0.389,0.799,0.663,0.0,8.0,0.105,-4.956,0.0,0.171,95.056,4.0,0.425
63,Close Your Eyes,Felix Jaehn,260857,1,January,2020,1080491.0,dance pop,81.0,0.0,160794.0,Party 2021,24.0,2021-02-19,0.0794,0.82,0.844,1.06e-05,11.0,0.134,-3.622,0.0,0.2,128.126,4.0,0.511
64,when the partys over,Billie Eilish,259688,1,January,2020,39685416.0,electropop,94.0,84.0,196077.0,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14.0,2019-03-29,0.978,0.367,0.111,3.97e-05,4.0,0.0897,-14.084,1.0,0.0972,82.642,4.0,0.198
65,Heartless,The Weeknd,257651,1,January,2020,29076261.0,canadian contemporary r&b,98.0,80.0,198266.0,After Hours,14.0,2020-03-20,0.0236,0.537,0.746,1.01e-06,10.0,0.156,-5.507,0.0,0.15,170.062,4.0,0.252
66,Family,The Chainsmokers,253018,1,January,2020,17428699.0,dance pop,86.0,68.0,194826.0,World War Joy,10.0,2019-12-06,0.426,0.584,0.607,0.0,11.0,0.101,-6.605,1.0,0.0356,117.817,4.0,0.374
67,If the World Was Ending - feat. Julia Michaels,JP Saxe,251506,1,January,2020,217249.0,canadian contemporary r&b,79.0,85.0,208687.0,If the World Was Ending (feat. Julia Michaels),1.0,2019-10-17,0.866,0.464,0.473,0.0,1.0,0.109,-10.086,1.0,0.129,75.801,4.0,0.604
68,Katten i trakten,Einár,249088,1,January,2020,161953.0,swedish gangsta rap,69.0,45.0,155271.0,Första Klass,9.0,2019-06-07,0.499,0.743,0.494,0.000236,8.0,0.125,-9.791,1.0,0.291,79.994,4.0,0.306
69,Salt,Ava Max,246102,1,January,2020,2984121.0,dance pop,86.0,76.0,180283.0,Heaven & Hell,16.0,2020-09-18,0.131,0.693,0.835,0.0,6.0,0.073,-3.242,1.0,0.0624,128.052,4.0,0.744
70,Babblarnas vaggvisa,Babblarna,245363,1,January,2020,24499.0,barnmusik,63.0,70.0,334053.0,Babblarnas vaggvisa,1.0,2017-08-11,0.828,0.307,0.234,9.87e-05,11.0,0.0959,-13.009,1.0,0.0321,186.402,4.0,0.335
71,F.A.M.E (LeyLey),Dani M,244560,1,January,2020,62138.0,swedish gangsta rap,62.0,38.0,206741.0,Pusher II,8.0,2019-06-21,0.148,0.678,0.59,0.0,5.0,0.476,-9.42,0.0,0.216,139.739,4.0,0.474
72,hot girl bummer,blackbear,241355,1,January,2020,3960121.0,electropop,88.0,84.0,188343.0,everything means nothing,12.0,2020-08-21,0.125,0.782,0.559,0.0,6.0,0.385,-7.106,0.0,0.0767,129.992,1.0,0.685
73,RITMO (Bad Boys For Life),Black Eyed Peas,238067,1,January,2020,5356655.0,dance pop,87.0,79.0,221714.0,RITMO (Bad Boys For Life),1.0,2019-10-12,0.0334,0.721,0.716,0.00084,10.0,0.237,-7.037,0.0,0.0657,104.994,4.0,0.667
74,Sunnanvind,Mares,236186,1,January,2020,36343.0,swedish idol pop,55.0,55.0,202409.0,Sunnanvind,7.0,2019-03-15,0.0184,0.718,0.702,1.27e-05,1.0,0.388,-6.845,0.0,0.0324,103.934,4.0,0.357
76,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,232351,1,January,2020,31243997.0,dfw rap,94.0,83.0,158040.0,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),13.0,2018-12-14,0.556,0.76,0.479,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,0.913
77,Lucid Dreams,Juice WRLD,230835,1,January,2020,15936369.0,chicago rap,98.0,87.0,239835.0,Goodbye & Good Riddance,17.0,2018-12-10,0.349,0.511,0.566,0.0,6.0,0.34,-7.23,0.0,0.2,83.903,4.0,0.218
78,Fast Display,Mwuana,225267,1,January,2020,23102.0,swedish dancehall,58.0,23.0,148825.0,Fast Display,1.0,2019-12-27,0.0469,0.72,0.635,0.0,10.0,0.107,-8.076,0.0,0.0843,85.058,4.0,0.244
79,74 BARS,Z.E,224401,1,January,2020,115609.0,swedish gangsta rap,61.0,50.0,173300.0,MER ÄN RAP,7.0,2019-07-03,0.533,0.907,0.541,2.1e-05,7.0,0.139,-9.445,1.0,0.166,103.016,4.0,0.381
80,Sand,Molly Sandén,223072,1,January,2020,215281.0,europop,67.0,35.0,181152.0,Större,12.0,2018-04-27,0.77,0.68,0.3,0.0,10.0,0.263,-8.428,1.0,0.0341,114.651,4.0,0.344
81,Watermelon Sugar,Harry Styles,219714,1,January,2020,12794127.0,pop,91.0,89.0,174000.0,Fine Line,12.0,2019-12-13,0.122,0.548,0.816,0.0,0.0,0.335,-4.209,1.0,0.0465,95.39,4.0,0.557
82,Hornstullsstrand,Hov1,217250,1,January,2020,137232.0,swedish idol pop,70.0,58.0,237563.0,Vindar på Mars,9.0,2019-05-17,0.474,0.526,0.647,0.0,3.0,0.305,-6.259,1.0,0.106,142.28,4.0,0.55
83,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,213778,1,January,2020,2166226.0,grime,80.0,73.0,216706.0,Heavy Is The Head,16.0,2019-12-13,0.00838,0.817,0.781,5.21e-06,7.0,0.123,-4.178,0.0,0.112,104.0,4.0,0.359
84,Sweet but Psycho,Ava Max,212998,1,January,2020,2984121.0,dance pop,86.0,81.0,187436.0,Heaven & Hell,16.0,2020-09-18,0.0684,0.72,0.706,0.0,1.0,0.166,-4.719,1.0,0.0473,133.002,4.0,0.62
85,Let Him Go,JUNG,212697,1,January,2020,14574.0,swedish pop,58.0,61.0,215000.0,Let Him Go (feat. Clara Mae),1.0,2019-10-04,0.5,0.692,0.251,0.0,6.0,0.0996,-7.858,1.0,0.034,96.551,5.0,0.339
86,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,211992,1,January,2020,15226630.0,rap,95.0,71.0,244873.0,JACKBOYS,7.0,2019-12-27,0.0567,0.559,0.491,0.0,2.0,0.0992,-6.406,0.0,0.0346,153.131,4.0,0.114
88,Hon är min (feat. Erik Segerstedt & Mattias Andréasson),Danny Saucedo,207631,1,January,2020,148238.0,europop,60.0,43.0,187773.0,Hon är min (feat. Erik Segerstedt & Mattias Andréasson),1.0,2019-11-09,0.0593,0.659,0.593,1e-06,1.0,0.118,-8.609,1.0,0.0713,158.009,4.0,0.491
89,Klär av dig,Victor Leksell,205274,1,January,2020,75125.0,swedish idol pop,70.0,57.0,202886.0,Fånga mig när jag faller,11.0,2020-06-17,0.411,0.768,0.402,7.82e-05,1.0,0.111,-11.574,1.0,0.0442,96.941,4.0,0.481
90,The Box,Roddy Ricch,203204,1,January,2020,5516506.0,melodic rap,89.0,87.0,196652.0,Please Excuse Me For Being Antisocial,16.0,2019-12-06,0.104,0.896,0.586,0.0,10.0,0.79,-6.687,0.0,0.0559,116.971,4.0,0.642
91,Garaget,ADAAM,201305,1,January,2020,43311.0,swedish hip hop,55.0,45.0,190833.0,Garaget,1.0,2019-12-06,0.428,0.852,0.645,0.000897,9.0,0.0776,-8.616,1.0,0.0878,144.055,4.0,0.182
92,Always Remember Us This Way,Lady Gaga,201220,1,January,2020,16219580.0,dance pop,90.0,78.0,210200.0,A Star Is Born Soundtrack (Without Dialogue),19.0,2018-10-05,0.299,0.553,0.502,0.0,0.0,0.764,-5.972,1.0,0.0409,129.976,4.0,0.296
93,Bruises,Lewis Capaldi,199844,1,January,2020,6984857.0,pop,87.0,82.0,220492.0,Divinely Uninspired To A Hellish Extent,12.0,2019-05-17,0.946,0.736,0.308,0.0,4.0,0.186,-7.83,1.0,0.0677,111.202,4.0,0.361
94,Suicidal,YNW Melly,199200,1,January,2020,5525173.0,melodic rap,82.0,79.0,225857.0,Suicidal (Remix) [feat. Juice WRLD],1.0,2020-03-13,0.474,0.655,0.441,0.0,9.0,0.099,-5.245,0.0,0.0629,139.957,4.0,0.273
95,Sånger från förut,GAMMAL,198633,1,January,2020,10785.0,swedish pop,53.0,54.0,231820.0,Sånger från förut,1.0,2019-05-10,0.0476,0.676,0.646,0.0,11.0,0.0894,-7.431,1.0,0.0525,128.015,4.0,0.45
96,Nu Vi Skiner,Einár,198086,1,January,2020,161953.0,swedish gangsta rap,69.0,45.0,178846.0,NUMMER 1,7.0,2019-09-05,0.801,0.612,0.484,0.0,6.0,0.0926,-8.19,0.0,0.275,102.967,4.0,0.655
97,Hey Ho,Freddy Kalas,197521,1,January,2020,133002.0,norwegian pop,59.0,16.0,174946.0,Jullåtar,67.0,2020-11-27,0.208,0.724,0.592,0.0,7.0,0.0712,-5.67,1.0,0.0524,79.975,4.0,0.638
