,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
178,"Ric Flair Drip (& Metro Boomin)",Offset,1567491,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
179,"Knockin' Boots","Luke Bryan",1566850,https://open.spotify.com/track/6ERR6e7h6wCqGoz1TjiUJb
180,"That's a Rack","Lil Uzi Vert",1551772,https://open.spotify.com/track/4pCEIQ6wBVuaJdER5bALtO
181,"Rescue Me",OneRepublic,1537064,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
182,"Sunset (with J. Cole feat. Young Nudy)",Dreamville,1526180,https://open.spotify.com/track/3pZO6GoVPeSYDxxsH6vCdj
183,"All To Myself","Dan + Shay",1521893,https://open.spotify.com/track/08tq1XcHwVt5PHXUo87i0D
184,"Don't Stop Me Now - Remastered 2011",Queen,1507331,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
185,"Best Part of Me (feat. YEBBA)","Ed Sheeran",1499652,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis
186,MEGATRON,"Nicki Minaj",1496543,https://open.spotify.com/track/1ZDmxwg7Lywlx68b7SsJjj
187,"Don't Stop Believin'",Journey,1495136,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
188,Isis,"Joyner Lucas",1494275,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
189,"Body Like A Back Road","Sam Hunt",1490023,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
190,Nightmare,Halsey,1485311,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
191,Money,"Cardi B",1485102,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
192,"MIA (feat. Drake)","Bad Bunny",1481366,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
193,"Candy (feat. Trippie Redd)","Machine Gun Kelly",1481032,https://open.spotify.com/track/37AGgp9VP8TVJBfEat74Bj
194,"Best Part (feat. Daniel Caesar)",H.E.R.,1478683,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
195,"When It Rains It Pours","Luke Combs",1457589,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
196,"Nice For What",Drake,1454747,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
197,Press,"Cardi B",1445372,https://open.spotify.com/track/6dPyzkyZwoj9LqjQXOFdVv
198,"The Less I Know The Better","Tame Impala",1444803,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
199,"my strange addiction","Billie Eilish",1443465,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
200,bellyache,"Billie Eilish",1440141,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
