,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
83,Sand,Molly Sandén,210030,https://open.spotify.com/track/7CYKovD8hNKg0w902IASMi
84,Katten i trakten,Einár,209896,https://open.spotify.com/track/3MZp8Ilx8eW2wSujWn3LnG
85,74 BARS,Z.E,207349,https://open.spotify.com/track/2eGPPxqTf4IxXZJ0opXNOy
86,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,203042,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
87,Rain,Tusse,200795,https://open.spotify.com/track/0N7kxmu1jOkEE8mmQNl1cE
88,Sunnanvind,Mares,200751,https://open.spotify.com/track/4GK4mydvnsodLEHWb4zJV4
89,Hornstullsstrand,Hov1,198399,https://open.spotify.com/track/2kju4JyRnNmiwQYhFrLgKy
90,Klär av dig,Victor Leksell,196889,https://open.spotify.com/track/7gt0BOQGPSst4wY6BQoH6u
91,Suicidal,YNW Melly,195566,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
92,No Idea,Don Toliver,194561,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
93,Sånger från förut,GAMMAL,192310,https://open.spotify.com/track/7eXmd9KhEpsvATd568suYZ
94,Kiss Somebody,Julie Bergan,187287,https://open.spotify.com/track/17XU1PTSv4OfcBUE8rNYWm
95,Hotel Walls,Smith & Thell,185163,https://open.spotify.com/track/7MUUzpdrSa8UUEpyS1dGUq
96,Wake Me Up,Avicii,184852,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
97,lovely (with Khalid),Billie Eilish,183787,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
98,Bandit (with YoungBoy Never Broke Again),Juice WRLD,183188,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
99,Always Remember Us This Way,Lady Gaga,182821,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
100,Nu Vi Skiner,Einár,182699,https://open.spotify.com/track/1vyWquflaiRZNvmDMAXedU
101,Starta vågen,Aden x Asme,181563,https://open.spotify.com/track/6yMlFbOT0gNy7Qlsrn2jD7
102,Kall,Ant Wan,180480,https://open.spotify.com/track/3YHHiktpaEShl6v22bOpzo
103,Garaget,ADAAM,175896,https://open.spotify.com/track/1xNfDze1BZay8BHo5eA4vo
104,Jag Vil Ha Dig,Ringnes-Ronny,175839,https://open.spotify.com/track/0IiWe6NRNBB7QbrCcgUCZX
105,Hon är min (feat. Erik Segerstedt & Mattias Andréasson),Danny Saucedo,174126,https://open.spotify.com/track/20OBnqjM7gct8wMqyhaObY
