,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
91,HIGHEST IN THE ROOM,Travis Scott,204442,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
92,XO,Yasin,203438,https://open.spotify.com/track/0JyOOPqNSdhIC7VrxrRNGt
93,Shallow,Lady Gaga,202818,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
94,HotSpot,Greekazo,201424,https://open.spotify.com/track/2YVhM13dAwdW321hNHtDVo
95,I Don't Know Why,NOTD,200923,https://open.spotify.com/track/0ZXdzaT1k688dkpNeEgQiV
96,Breaking Me,Topic,197106,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
97,Bruises,Lewis Capaldi,193823,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
98,Memories,Maroon 5,193594,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
99,Higher Love,Kygo,193504,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
100,Hornstullsstrand,Hov1,192565,https://open.spotify.com/track/2kju4JyRnNmiwQYhFrLgKy
101,Play Date,Melanie Martinez,191371,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
102,Hundra,Adel,190039,https://open.spotify.com/track/2bPzY1cWAMaOuniKXMF2Or
103,Think About Things,Daði Freyr,189666,https://open.spotify.com/track/2iRniYXjMHKmwXqA2jYXP7
104,Sunnanvind,Mares,189306,https://open.spotify.com/track/4GK4mydvnsodLEHWb4zJV4
105,TESLA,Macky,188565,https://open.spotify.com/track/4LZi20EAgNBhTR3OBWLzdr
106,DAG HAMMARSKJÖLD,Dree Low,187503,https://open.spotify.com/track/5MwNk30sG4xRpsDdUgUwC2
107,Freedom,Kygo,187414,https://open.spotify.com/track/5Gj1wG8b12VQdEd3hUuSwo
108,Fingertips,Tom Gregory,186414,https://open.spotify.com/track/0X4hMHBj4Ra6h1tIQGl1CH
109,Bro,Lelo,185501,https://open.spotify.com/track/0jngaMh4nKBzquXKeaaYzv
110,everything i wanted,Billie Eilish,185228,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
