,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
99,Say So,Doja Cat,203423,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
100,Sand,Molly Sandén,203279,https://open.spotify.com/track/7CYKovD8hNKg0w902IASMi
101,Let Him Go,JUNG,201735,https://open.spotify.com/track/1cXLNDNwUjFB81anhcsDgo
102,Ride It,Regard,200290,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
103,Alltid undrat,DANO,200024,https://open.spotify.com/track/2SFN96fwWr3Tdz4MtOdsZl
104,RITMO (Bad Boys For Life),Black Eyed Peas,199912,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
105,Jag Vil Ha Dig,Ringnes-Ronny,198554,https://open.spotify.com/track/0IiWe6NRNBB7QbrCcgUCZX
106,F.A.M.E (LeyLey),Dani M,197580,https://open.spotify.com/track/1ryW1LqC5VMFJFXd4wIrpf
107,lovely (with Khalid),Billie Eilish,197223,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
108,SUGAR,BROCKHAMPTON,196583,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
109,Katten i trakten,Einár,196458,https://open.spotify.com/track/3MZp8Ilx8eW2wSujWn3LnG
110,Hornstullsstrand,Hov1,193360,https://open.spotify.com/track/2kju4JyRnNmiwQYhFrLgKy
111,Without You (feat. Sandro Cavazza),Avicii,191940,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL
112,Not For Sale,Yasin,191376,https://open.spotify.com/track/4URUc2gf1k0kjf7g7EsZV5
113,Då börjar fåglar sjunga,Miss Li,189908,https://open.spotify.com/track/7FemQvLSKHlBYsIM3PoCs8
114,HIGHEST IN THE ROOM,Travis Scott,188386,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
115,Två sekunder på loftet,Hov1,187179,https://open.spotify.com/track/6VOFDrMvm3JNsfhtJF7J2w
116,74 BARS,Z.E,184809,https://open.spotify.com/track/2eGPPxqTf4IxXZJ0opXNOy
117,Starta vågen,Aden x Asme,184570,https://open.spotify.com/track/6yMlFbOT0gNy7Qlsrn2jD7
118,Sunnanvind,Mares,180321,https://open.spotify.com/track/4GK4mydvnsodLEHWb4zJV4
119,Säg mig var du står,Little Jinder,178974,https://open.spotify.com/track/492z4HhkIEmaKS7lbXzeDK
120,Vi två,estraden,176240,https://open.spotify.com/track/2ijMtHHR50h8M951kZvYkR
121,Good News,Mac Miller,176174,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
122,Hotel Walls,Smith & Thell,173558,https://open.spotify.com/track/7MUUzpdrSa8UUEpyS1dGUq
123,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,173411,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
124,TRIANGELDRAMA,Robbz x Brookz,173069,https://open.spotify.com/track/0ntVXbLbKbgCesFWS6qRet
125,Solen har gått ner,Veronica Maggio,171195,https://open.spotify.com/track/10ylH6P7Lk02UVQbHSLSuJ
126,Nu Vi Skiner,Einár,171182,https://open.spotify.com/track/1vyWquflaiRZNvmDMAXedU
127,Drip 2 Hard,Einár,171111,https://open.spotify.com/track/6h7wHyRKmQgT9COCR2TGu2
128,Lucid Dreams,Juice WRLD,170998,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
129,BETONG,Dree Low,169877,https://open.spotify.com/track/3uIWUPk0vMSOfymAR1jUS2
130,Breaking Me,Topic,169557,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
131,Wake Me Up,Avicii,167449,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
132,Amors Pilar,Lov1,166230,https://open.spotify.com/track/3HLhjPruBviCuxJMFqLdRa
133,Ballerina,Malou Prytz,166003,https://open.spotify.com/track/5WlRSquSKNju4JEHkJ9Xh6
134,Kära mamma,Hov1,164807,https://open.spotify.com/track/2v9sTeANiy5mh60M9Ne77Q
135,Vart du sover,Victor Leksell,163165,https://open.spotify.com/track/0SQIqzlha4iu1cGlvm0gZO
136,Pull Up,ADAAM,161580,https://open.spotify.com/track/1evRKP3IukPz76VQ71ykSc
137,ANNA BOOK,Frej Larsson,161194,https://open.spotify.com/track/4yxr3khkHJypQDArNlVbjZ
138,Always Remember Us This Way,Lady Gaga,160478,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
139,Tusa,KAROL G,158361,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
140,KAPABEL 2,Dree Low,158174,https://open.spotify.com/track/5hJ3tz6PVAEvPtu6NJbmC3
141,Hon dansar vidare i livet,Hov1,157370,https://open.spotify.com/track/1aEU7mcRDTYBB4ASpqbjYE
142,Smartare,estraden,157273,https://open.spotify.com/track/3xY2iyO2p65Z7j8Sck1CiY
143,hot girl bummer,blackbear,157194,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
144,Afterwork,Bolaget,157060,https://open.spotify.com/track/6709eMbfnuHS64RVhlYLty
145,Branschen - Recorded at Spotify Studios Stockholm,Z.E,156130,https://open.spotify.com/track/6ZFe0Rzy31duWc50Ivk4lJ
146,ocean eyes,Billie Eilish,155638,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
147,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,155541,https://open.spotify.com/track/1I7arMzqZe0nxd9TfkG0Dt
148,Kapitel,SINAN,155071,https://open.spotify.com/track/5QptlcHwbCVadqC6yFf8nT
149,Bandit (with YoungBoy Never Broke Again),Juice WRLD,154913,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
150,Min Nivå,Einár,154736,https://open.spotify.com/track/12qTfrg0Wp6zSnawQxaL4q
151,Happy Now,Kygo,153481,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
152,Kall,Ant Wan,153002,https://open.spotify.com/track/3YHHiktpaEShl6v22bOpzo
153,bury a friend,Billie Eilish,152663,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
154,Blåmärkshårt (Mi Amor),Miriam Bryant,152259,https://open.spotify.com/track/2qKtQuFukH2d0m3FNROcqH
155,Be Alright,Dean Lewis,151412,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
156,me & ur ghost,blackbear,150627,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
157,Nr 1,Einár,150485,https://open.spotify.com/track/0pHeYnigEgjN0vbQhUwXqd
158,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,150178,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
159,Forgive Me Friend (feat. Swedish Jam Factory),Smith & Thell,149986,https://open.spotify.com/track/6uYSfre2oDrvGBAWEcnr51
160,Hurts To Be Hurt,Vargas & Lagola,149629,https://open.spotify.com/track/7FW5m5TX7Z0ql49YNgWiqk
161,"Sunday Best (Feeling Good, Like I Should)",Surfaces,148840,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
162,I'll Be Fine Somehow - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,148713,https://open.spotify.com/track/7bWxEJjDCSTkjTzJMZ6VKL
163,John Snow,Yasin,148477,https://open.spotify.com/track/6fulMfMC4B5S52YaAhdnmF
164,Don't Stop Believin',Journey,147781,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
165,Ayy Macarena,Tyga,147536,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
166,Dö ung,Hov1,147166,https://open.spotify.com/track/2OQgPPnwvacwYPs4CwRKjK
167,KLICK,Z.E,146684,https://open.spotify.com/track/0USd9iNkH6hC3sGW6ZUB3s
168,Perugia,Unga Scener,146611,https://open.spotify.com/track/4vBEDvUAOzUNteamPDXuot
169,Au Revoir,Lov1,146037,https://open.spotify.com/track/47nMVODSR4kwKcufoo22wH
170,AAH SHIT,Imenella,145995,https://open.spotify.com/track/0B7p3CjuqLJlqhtUMCxr0L
171,Sweet but Psycho,Ava Max,145211,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
172,Big Time,Stress,144543,https://open.spotify.com/track/5HrKHDL5xUY8Oe5hWtcNhj
173,Hata mig,Molly Sandén,143989,https://open.spotify.com/track/6u0L0dqNEwuB18oHbAUn9Q
174,Eleven,Khalid,143633,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
175,"Du Med Dig, Akustisk",Miriam Bryant,142759,https://open.spotify.com/track/1AfSccccjs0qPxCeuKAbEr
176,Fem Komma Tvåan,Bolaget,142556,https://open.spotify.com/track/0BZSYucujCLGXwugCTbjMj
177,Those Kinda Nights (feat. Ed Sheeran),Eminem,142492,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
178,Heartless,The Weeknd,140695,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
179,Told You So,Mike Perry,139598,https://open.spotify.com/track/3YykTavXvEYywYJFZIngbT
180,"Tough Love (feat. Agnes, Vargas & Lagola)",Avicii,139464,https://open.spotify.com/track/1yfyIdEw5U2bD5I6gxQCxW
181,Watermelon Sugar,Harry Styles,138949,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
182,Garaget,ADAAM,137158,https://open.spotify.com/track/1xNfDze1BZay8BHo5eA4vo
183,Bikini Porn,Tove Lo,136965,https://open.spotify.com/track/2jUoKSWTHduXxUL3JomwhB
184,SANTA LUCIA,Dree Low,135992,https://open.spotify.com/track/12cqy08ToKVuqNfYtdSMty
185,Nykter,Bolaget,134326,https://open.spotify.com/track/7C2AZZT5WdFSuDNmlG11jz
186,BOP,DaBaby,134234,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
187,Defunkt,Albatraoz,133657,https://open.spotify.com/track/4iRBwAfhRmYi39lCkTRaqZ
188,Goliat,Laleh,133599,https://open.spotify.com/track/7qA8S7mbV9uPy9rFprdN3C
189,Det Kanske Inte är Så Farligt?,William Segerdahl,133590,https://open.spotify.com/track/1vygja81G5WG3tqmHrAkAx
190,Falling Like The Stars,James Arthur,133297,https://open.spotify.com/track/395KzBy0bkb57dEvg6cfzJ
191,Lay By Me,Ruben,133178,https://open.spotify.com/track/5xQ1yxKzTuPcSNO9FP0lNS
192,Say You Won't Let Go,James Arthur,132612,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
193,Blommor där du står,GAMMAL,131414,https://open.spotify.com/track/23MBpKcMc36cy26jjehN5A
194,Slow,SHY Martin,131359,https://open.spotify.com/track/1Ia95g66IhlAJ3qVI4qI8W
195,Vindar på Mars,Hov1,130730,https://open.spotify.com/track/1ZdxC3zKhv7A8W0QOhcaAy
196,Jocelyn Flores,XXXTENTACION,130724,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
197,This City,Sam Fischer,130554,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
198,I love u so much,Hov1,130383,https://open.spotify.com/track/69U1FSJWDTztHG9OvOraxJ
199,Dröm,Jireel,129948,https://open.spotify.com/track/0OrDyYAXLoinmrMqyWZ0sn
200,Den som e den,Molly Sandén,129931,https://open.spotify.com/track/53T4MpkaHLd3oYK5PC5YH2
