,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
71,El Efecto,Rauw Alejandro,458782,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
72,Ma lo vuoi capire?,Tommaso Paradiso,457953,https://open.spotify.com/track/4Veqf07wBQY58QVqNGA1M7
73,ROCKSTAR (feat. Roddy Ricch),DaBaby,457073,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
74,Cioilflow (feat. Salmo) - prod. Strage,Dani Faiv,452983,https://open.spotify.com/track/5g3lnGtMq0m30T6xHElZqJ
75,Ora che ti guardo bene,Gazzelle,443452,https://open.spotify.com/track/25rH6l9UjJaLu4Ckxku8XT
76,The Box,Roddy Ricch,435386,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
77,Che Poi,Carl Brave,430224,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
78,Lento,Boro Boro,429408,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
79,"Cracovia, Pt. 3",Il Tre,424564,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
80,Blueberry Faygo,Lil Mosey,423608,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
81,Tutto Questo Sei Tu,Ultimo,418091,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
82,"Sunday Best (Feeling Good, Like I Should)",Surfaces,411375,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
83,"Machete Mob (feat. Lazza, Nitro, Hell Raton & Jack The Smoker) - prod. Low Kidd",Dani Faiv,409052,https://open.spotify.com/track/1jdSQIHOSFxVqDSsSDTM8m
84,Someone You Loved,Lewis Capaldi,409032,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
85,"PAROLA - feat. Lazza, Emis Killa",Giaime,403018,https://open.spotify.com/track/4XxQOwmNM0DF3bKafSJBNw
86,JAMBO,Takagi & Ketra,400930,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv
87,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,400560,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
88,Andromeda,Elodie,393229,https://open.spotify.com/track/0enRz21WfeQKKV9StgrKv7
89,Stu core t'apparten,Rocco Hunt,389943,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
90,ily (i love you baby) (feat. Emilee),Surf Mesa,383536,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
91,Supalonely,BENEE,380142,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
92,Tikibombom,Levante,379342,https://open.spotify.com/track/4JNT4VElmvNmJaQUhwPzg9
93,SCACCIACANI,Ketama126,376350,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3
94,10 Sprite,Taxi B,375740,https://open.spotify.com/track/0zhsjZ8jamvv4QShuWnl5F
95,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,374315,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
96,Non Avere Paura,Tommaso Paradiso,371955,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
97,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,369785,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
98,Ostia Lido,J-AX,368705,https://open.spotify.com/track/4WJ1fu0RntmhYGkP9IWTVL
99,Mambo Salentino,Boomdabash,367818,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
100,ROXANNE,Arizona Zervas,366793,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
101,RITMO (Bad Boys For Life),Black Eyed Peas,365036,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
102,Savage,Megan Thee Stallion,364591,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
103,Calmo,Shiva,363234,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
