,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
129,Canna e Playstation - prod. Strage,Dani Faiv,354496,https://open.spotify.com/track/0200p5a07AQi3qH6AtDmls
130,Bando - Remix,ANNA,351328,https://open.spotify.com/track/1Upi1oHB1ly7XdlbOz7Gjd
131,"Sunday Best (Feeling Good, Like I Should)",Surfaces,350511,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
132,Andromeda,Elodie,349893,https://open.spotify.com/track/0enRz21WfeQKKV9StgrKv7
133,La hit dell'estate,Shade,349758,https://open.spotify.com/track/443cnFF139Ql85enXOTWEu
134,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,349573,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
135,Intro (Estinzione) - prod. Kanesh,Dani Faiv,347961,https://open.spotify.com/track/6cQCnbIC3cICmUXkmHqN0q
136,Mambo Salentino,Boomdabash,347289,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc
137,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",Charlie Charles,344845,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy
138,"SPORT + muscoli (RMX) (feat. Lazza, Paky, Luchè & Taxi B)",Marracash,344794,https://open.spotify.com/track/7srDOLMwjMC07Dzs7mqCnv
139,Sei bella come Roma,DANDY TURNER,344357,https://open.spotify.com/track/51MYYyG3fjM3rttqRByqTl
140,Say So,Doja Cat,337753,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
141,ROXANNE,Arizona Zervas,337703,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
142,Me ne frego,Achille Lauro,330934,https://open.spotify.com/track/4oDW4IEwiYMahMTsIP17R1
143,BOHEME,Rosa Chemical,330069,https://open.spotify.com/track/67MLNPRbU1aAHke5rXHVtN
144,ENFASI,Sierra,329129,https://open.spotify.com/track/77VwA6u9JEb4WG5lWSkvU6
145,Tikibombom,Levante,328530,https://open.spotify.com/track/4JNT4VElmvNmJaQUhwPzg9
146,Barrio,Mahmood,328216,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
147,Il tuo profumo,Fred De Palma,324120,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
