,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
111,"Going Bad (feat. Drake)","Meek Mill",2248002,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
112,"Lost In Yesterday","Tame Impala",2246211,https://open.spotify.com/track/5JWPUEov2wlX7c0jhYZpeB
113,"ocean eyes","Billie Eilish",2234238,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
114,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",2229971,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
115,"Jocelyn Flores",XXXTENTACION,2224019,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
116,"Luv Is Art (feat. Lil Uzi Vert)","A Boogie Wit da Hoodie",2222671,https://open.spotify.com/track/0LVaWrTztFOuN7g7gcyLs8
117,"Pop Out (feat. Lil Tjay)","Polo G",2216342,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
118,Vete,"Bad Bunny",2193749,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
119,"Posthumous Forgiveness","Tame Impala",2179427,https://open.spotify.com/track/1KcOU0q9AMXV9xi4tSzzCc
120,"SICKO MODE","Travis Scott",2177084,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
121,Maniac,"Conan Gray",2172160,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
122,"Hate Me (with Juice WRLD)","Ellie Goulding",2162729,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
123,Yikes,"Nicki Minaj",2160913,https://open.spotify.com/track/75dLEqanQTupF3dtP9exT5
124,"That's What Love Is","Justin Bieber",2160382,https://open.spotify.com/track/2hLu8L8SNfCN4yKyPdX0h3
125,SAD!,XXXTENTACION,2129827,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
126,"All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo",2129268,https://open.spotify.com/track/4Yxc55NX3tAXC2mHRAhtcW
