,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
93,"Jocelyn Flores",XXXTENTACION,2151391,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
94,"ALWAYS DO","The Kid LAROI",2148088,https://open.spotify.com/track/3QCU8BT0zDS9LPVfEhRFEE
95,goosebumps,"Travis Scott",2141721,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
96,"Line Without a Hook","Ricky Montgomery",2096761,https://open.spotify.com/track/5jvgec3P4jyoZUPTy2pWDR
97,"The Christmas Song (Merry Christmas To You)","Nat King Cole",2095125,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
98,"Train Wreck","James Arthur",2088547,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
99,"Life Is Good (feat. Drake)",Future,2083410,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
100,"Electric Love",BØRNS,2071711,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
101,"SLOW DANCING IN THE DARK",Joji,2053611,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
102,"Adore You","Harry Styles",2049320,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
103,"After Party","Don Toliver",2037867,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
104,"Space Legend","Porky Slim",2036480,https://open.spotify.com/track/2ShRJbppDksFugwquBFyjx
105,"Midnight Sky","Miley Cyrus",2029270,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
106,"E-GIRLS ARE RUINING MY LIFE!",CORPSE,2027818,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve
107,"Drankin N Smokin",Future,2013194,https://open.spotify.com/track/0k7wmahjkn389wAZdz19Cv
108,"death bed (coffee for your head)",Powfu,2011674,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
109,"Are You Bored Yet? (feat. Clairo)",Wallows,2010507,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm
110,"Roses - Imanbek Remix","SAINt JHN",2008639,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS
111,"Chasin' You","Morgan Wallen",2002645,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
112,"HIGHEST IN THE ROOM","Travis Scott",1989014,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
113,"Better Together","Luke Combs",1973767,https://open.spotify.com/track/6gdLyYNuhWBzqwlOFSsXC7
114,Golden,"Harry Styles",1967800,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
115,"Go Crazy","Chris Brown",1966773,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
116,"lovely (with Khalid)","Billie Eilish",1965560,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
117,"Wolves (feat. Post Malone)","Big Sean",1950332,https://open.spotify.com/track/33gwZOGJWEZ7dRWPqPxBEZ
118,"Daddy Issues","The Neighbourhood",1943409,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
119,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",1941975,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
120,"hot girl bummer",blackbear,1941004,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
121,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1934239,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
122,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",1932198,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
123,Righteous,"Juice WRLD",1922893,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
124,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",1921279,https://open.spotify.com/track/2Z71PZlOeF9YVze4hy1A1a
125,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1920157,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
126,"Shots Fired","Megan Thee Stallion",1919244,https://open.spotify.com/track/3yhhv0VCmKkAWD9ysDLpTE
127,21,"Polo G",1913871,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H
128,Dior,"Pop Smoke",1904582,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
129,"No Role Modelz","J. Cole",1900876,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
130,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",1884084,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
131,"just like magic","Ariana Grande",1877660,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
132,"Do It On The Tip (feat. City Girls & Hot Girl Meg)","Megan Thee Stallion",1867619,https://open.spotify.com/track/2993VQSr7a2Dj5hI5xcWG0
133,BICHOTA,"KAROL G",1859444,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
134,"Starting Over","Chris Stapleton",1858779,https://open.spotify.com/track/3K07bGe8iljQ3mOKArHLDo
135,"Do They Know It's Christmas? - 1984 Version","Band Aid",1854104,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
136,"Star Shopping","Lil Peep",1847957,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
137,BOP,DaBaby,1845244,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
138,ROXANNE,"Arizona Zervas",1839439,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
139,"Beautiful Crazy","Luke Combs",1836189,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
140,"One Of Them Girls","Lee Brice",1833520,https://open.spotify.com/track/6uyiyatWPCqC59Mm4rO8xL
141,"Ballin' (with Roddy Ricch)",Mustard,1827196,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
142,"Pretty Heart","Parker McCollum",1814772,https://open.spotify.com/track/6vC90OOjZR165Hw8CpsqEm
143,"Cover Me Up","Morgan Wallen",1811444,https://open.spotify.com/track/7Jd0VVrzeTTWipxSzJ81aC
144,"off the table (with The Weeknd)","Ariana Grande",1794934,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
145,"Sunday Best (Feeling Good, Like I Should)",Surfaces,1780326,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
146,Falling,"Harry Styles",1774798,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
147,"Blastoff (feat. Juice Wrld & Trippie Redd)","Internet Money",1766533,https://open.spotify.com/track/7dH9TPjTWQ60wOJkmYay8a
148,"20 Min","Lil Uzi Vert",1758694,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
149,SAD!,XXXTENTACION,1751651,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
150,Bang!,AJR,1750214,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
151,"WHATS POPPIN","Jack Harlow",1740358,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
152,"Freaky Girls (feat. SZA)","Megan Thee Stallion",1738708,https://open.spotify.com/track/4RAEVQeHanpXyK2lrEUkMk
153,"SICKO MODE","Travis Scott",1732390,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
154,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1729755,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
155,"Party Girl",StaySolidRocky,1728804,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
156,"MIDDLE CHILD","J. Cole",1705780,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
157,"That’s It",Future,1704859,https://open.spotify.com/track/5n6gBhdEjCuj3obgCoTEFD
158,"We Paid (feat. 42 Dugg)","Lil Baby",1703169,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
159,"Tennessee Whiskey","Chris Stapleton",1694105,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
160,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1678995,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
161,"Mr Loverman","Ricky Montgomery",1674787,https://open.spotify.com/track/0MF5QHFzTUM2dYm6J7Vngt
162,"Move On","Lil Tjay",1662841,https://open.spotify.com/track/1BPBcKcunC2olMIDEyQejT
163,July,"Noah Cyrus",1661624,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
